"","sample_date","gage_ht","cond","cl","na"
"1",1987-01-05,2.82,48.2,7.3,4.75
"2",1987-01-13,2.66,49.8,7.5,4.81
"3",1987-01-20,2.61,50.3,7.5,5.19
"4",1987-01-27,2.58,50.4,7.3,5.08
"5",1987-02-03,2.8,49.6,7.3,4.86
"6",1987-02-10,2.63,53.3,7.2,5.11
"7",1987-02-17,2.84,43.7,7,4.8
"8",1987-02-24,2.68,48.4,7.3,5.08
"9",1987-03-03,2.76,48.4,7.6,4.9
"10",1987-03-10,2.64,49.9,7.3,4.89
"11",1987-03-17,6,20.5,3.7,2.43
"12",1987-03-24,2.8,48.7,7.3,4.97
"13",1987-03-31,2.7,50.9,7.4,5.04
"14",1987-04-07,2.7,50.5,7.4,5.02
"15",1987-04-14,4.2,35.5,6.1,3.83
"16",1987-04-21,2.9,48.5,7.2,4.93
"17",1987-04-28,2.7,51.8,7.3,5.27
"18",1987-05-05,2.74,51.7,7.1,4.95
"19",1987-05-12,4.2,37,NA,3.17
"20",1987-05-19,3.86,33.9,NA,3.5
"21",1987-05-26,3.56,37.1,5.5,3.79
"22",1987-06-02,2.68,44,6.1,4.37
"23",1987-06-09,2.86,49.3,7.58,4.83
"24",1987-06-16,3.5,40.1,6.1,4.06
"25",1987-06-23,3.52,31.7,5.4,3.81
"26",1987-06-30,3.36,42.1,6.1,4.24
"27",1987-07-07,3.56,39.8,5.9,8.77
"28",1987-07-14,2.76,46.4,6.6,4.63
"29",1987-07-21,3.4,46.1,6.3,4.44
"30",1987-07-28,3,45,6.2,4.32
"31",1987-08-04,3.15,40.2,6.1,3.99
"32",1987-08-11,2.58,50,6.6,4.78
"33",1987-08-18,2.6,46.8,6.6,4.73
"34",1987-08-25,2.72,46.2,6.5,4.65
"35",1987-09-01,2.94,41.3,6.4,4.23
"36",1987-09-08,2.64,47,7.2,4.73
"37",1987-09-15,2.96,46.2,7,4.56
"38",1987-09-22,3.36,40.8,6.3,4.17
"39",1987-09-29,3.52,35.1,5.07,3.69
"40",1987-10-06,2.79,43.4,6.62,4.43
"41",1987-10-13,2.52,50.4,7.3,4.93
"42",1987-10-20,2.84,43,6.25,4.2
"43",1987-10-27,2.8,42.2,6.7,4.11
"44",1987-11-03,2.62,47.7,7.1,4.61
"45",1987-11-10,2.68,43.2,6.68,4.47
"46",1987-11-17,3.55,39.3,5.89,3.81
"47",1987-11-24,3.76,32.6,NA,3.45
"48",1987-12-01,3.42,40.4,7.04,4.23
"49",1987-12-15,4.65,33.5,5.9,3.58
"50",1987-12-22,4.12,36.2,6.29,3.68
"51",1987-12-29,3.72,39.9,7.1,4.09
"52",1988-01-05,3.84,42.3,8.3,4.41
"53",1988-01-12,3.7,42.8,7.68,4.38
"54",1988-01-19,3.86,45.5,9.6,4.65
"55",1988-01-26,3.5,47,8.7,4.65
"56",1988-02-02,5.4,41.5,10.1,4.76
"57",1988-02-09,4.06,49.9,13.18,4.65
"58",1988-02-16,3.72,49.7,8.1,4.46
"59",1988-02-23,3.59,44.7,7.85,4.39
"60",1988-03-01,3.5,52.4,7.71,4.53
"61",1988-03-08,3.16,52,7.91,4.67
"62",1988-03-15,2.98,57.7,7.72,4.8
"63",1988-03-21,3.15,59.5,8.62,5.2
"64",1988-03-29,4.3,39.4,8.21,4.13
"65",1988-04-05,3.36,50.7,8.45,4.97
"66",1988-04-12,2.9,53,7.82,5.01
"67",1988-04-19,3.5,47.2,7,4.63
"68",1988-04-26,3.9,42,7.11,4.19
"69",1988-05-03,3.04,49.7,7.41,4.7
"70",1988-05-10,2,51.9,7.34,5.1
"71",1988-05-17,3.5,45.1,7,3.49
"72",1988-05-24,NA,48.5,7.24,4.76
"73",1988-05-31,3.2,50.2,7.37,4.64
"74",1988-06-07,2.98,52.7,7.53,5.06
"75",1988-06-14,3.57,47.5,7.37,4.47
"76",1988-06-21,3.84,38.9,6.4,3.6
"77",1988-06-28,3.24,48.6,NA,4.56
"78",1988-07-05,3.34,46.5,NA,4
"79",1988-07-12,3.67,43.9,7.75,4.3
"80",1988-07-19,4.5,36.9,6.51,3.73
"81",1988-07-26,4.08,39.7,NA,4.1
"82",1988-08-02,3.6,42.5,7.57,4.35
"83",1988-08-09,3.57,46.2,7.36,4.38
"84",1988-08-16,3.52,78.2,7.38,NA
"85",1988-08-23,3.64,42.1,NA,4.3
"86",1988-08-30,3.87,41.5,NA,4.19
"87",1988-09-06,3.37,49.2,NA,4.81
"88",1988-09-13,4.17,40.2,NA,3.58
"89",1988-09-20,3.68,41.6,NA,4.13
"90",1988-09-27,3.12,49,NA,4.87
"91",1988-10-04,NA,NA,NA,4.07
"92",1988-10-11,NA,NA,NA,4.3
"93",1988-10-18,NA,NA,NA,NA
"94",1988-10-25,3.42,40.6,6.67,4.47
"95",1988-11-01,3.6,44.5,6.8,4.37
"96",1988-11-07,3.29,46.3,6.94,4.51
"97",1988-11-15,3.5,43.9,6.33,4.15
"98",1988-11-22,3.68,43.5,NA,4.03
"99",1988-11-29,3.3,47.3,NA,4.61
"100",1988-12-06,3.27,44.1,NA,4.57
"101",1988-12-13,3.36,46.3,NA,4.6
"102",1988-12-20,3.29,46.3,NA,4.72
"103",1988-12-27,3.64,43,NA,4.46
"104",1989-01-03,3.5,48,NA,4.62
"105",1989-01-10,4.58,38.3,NA,4.41
"106",1989-01-17,NA,48,NA,4.78
"107",1989-01-24,3.4,49.2,NA,4.78
"108",1989-01-31,3.28,48.7,NA,4.47
"109",1989-02-07,3.4,50.1,NA,4.46
"110",1989-02-14,3.44,50.1,NA,4.64
"111",1989-02-21,3.62,46.4,NA,4.42
"112",1989-02-28,3.7,44,NA,4.24
"113",1989-03-07,3.46,52.6,NA,4.61
"114",1989-03-14,3.74,46,7.23,4.35
"115",1989-03-21,3.42,48.2,7.14,4.48
"116",1989-03-28,3.22,50.9,7.39,4.63
"117",1989-04-04,3.34,43.2,NA,4.07
"118",1989-04-11,3.4,44.4,8.1,4.19
"119",1989-04-18,NA,48.7,9.1,4.6
"120",1989-04-25,2.82,53.3,6.3,4.82
"121",1989-05-02,3.25,49.8,14.5,4.83
"122",1989-05-09,2.9,NA,11,4.6
"123",1989-05-16,2.8,54,NA,4.66
"124",1989-05-23,2.6,43.3,NA,4.94
"125",1989-05-30,NA,37.5,NA,4.31
"126",1989-06-06,3.58,37.9,NA,4.22
"127",1989-06-13,3.25,43.3,NA,4.66
"128",1989-06-20,3.36,40.8,NA,4.46
"129",1989-06-27,3.18,46.6,NA,4.82
"130",1989-07-05,NA,38,7.56,NA
"131",1989-07-11,3.45,40.6,NA,4.55
"132",1989-07-18,3.76,36.5,NA,4.26
"133",1989-07-26,3.48,41.1,NA,4.53
"134",1989-08-01,3.82,36.9,NA,4.29
"135",1989-08-08,3.26,41.7,NA,4.76
"136",1989-08-15,3.46,39.2,NA,4.44
"137",1989-08-22,4.24,47.2,NA,4.07
"138",1989-08-29,4.9,29.9,NA,3.4
"139",1989-09-05,3.46,33.4,NA,4
"140",1989-09-12,4.45,42.7,NA,3.55
"141",1989-09-26,3.9,56.6,NA,5.36
"142",1989-10-03,3.54,48,NA,5.24
"143",1989-10-10,3.42,59,NA,5.41
"144",1989-10-17,3.38,NA,7.9,6.05
"145",1989-10-24,NA,63.5,9.01,5.17
"146",1989-10-31,3.18,67,5.54,5.99
"147",1989-11-07,NA,NA,NA,5.75
"148",1989-11-14,3.6,62,NA,5.18
"149",1989-11-21,NA,NA,NA,6.03
"150",1989-11-28,3,73,7.11,4.62
"151",1989-12-05,2.78,63.5,7.75,4.48
"152",1989-12-12,3.18,47.8,6.69,4.56
"153",1989-12-19,2.3,48.9,NA,4.66
"154",1989-12-26,2.26,51.3,NA,4.65
"155",1990-01-02,3.86,58.8,NA,5.32
"156",1990-01-09,2.9,49.2,NA,7.2
"157",1990-01-16,3.34,52.5,NA,4.85
"158",1990-01-23,3.27,44.7,9,4.56
"159",1990-01-25,4.7,46.8,7.14,4.7
"160",1990-01-30,3.35,48.4,7.21,4.92
"161",1990-02-06,3.05,68.6,NA,5.8
"162",1990-02-13,3.1,61.7,10.16,5.24
"163",1990-02-14,5.1,45.9,11.05,5.18
"164",1990-02-20,3.48,49.2,12.57,5.35
"165",1990-02-27,3.45,50,9.55,5.58
"166",1990-03-06,3.14,60.1,8.36,5.18
"167",1990-03-13,5.8,36.4,NA,5.36
"168",1990-03-20,3.68,53.7,8.29,5.11
"169",1990-03-27,NA,NA,9.03,5.01
"170",1990-04-03,3.56,59.3,NA,4.97
"171",1990-04-10,3.76,56.1,NA,5.08
"172",1990-04-17,3.44,63,NA,4.97
"173",1990-04-24,NA,NA,NA,4.82
"174",1990-04-25,NA,NA,NA,3.41
"175",1990-05-01,3.38,53.9,NA,4.8
"176",1990-05-08,2.98,60.8,7.64,4.88
"177",1990-05-10,NA,NA,8.45,4.34
"178",1990-05-15,3.86,50.7,8.34,4.35
"179",1990-05-22,2.98,60.1,8.04,4.69
"180",1990-05-29,2.98,62.8,NA,4.86
"181",1990-06-05,4.72,46,7.43,4.52
"182",1990-06-05,3.78,55.5,NA,4.65
"183",1990-06-12,3.11,55.6,8.02,4.9
"184",1990-06-19,2.98,55.9,8.69,4.92
"185",1990-06-26,3.76,43.3,NA,4.26
"186",1990-07-03,2.85,56.4,8.26,5.07
"187",1990-07-06,NA,NA,6.31,3.95
"188",1990-07-10,3.04,53.6,7.68,4.76
"189",1990-07-17,3,57.4,10.74,4.92
"190",1990-07-24,3.88,43.6,NA,4.23
"191",1990-07-31,2.8,56.4,NA,5.03
"192",1990-08-07,2.7,56.4,NA,5.12
"193",1990-08-14,3.12,48,NA,4.52
"194",1990-08-21,2.82,57.6,9.62,4.92
"195",1990-08-28,3.84,56.7,12.09,4.92
"196",1990-09-04,2.9,54.4,NA,4.94
"197",1990-09-11,2.54,55.6,NA,5.07
"198",1990-09-18,5.24,46,NA,4.34
"199",1990-09-25,2.8,55,3.28,4.81
"200",1990-10-02,2.82,51.8,6.22,4.71
"201",1990-10-09,3.08,54.3,7.08,4.68
"202",1990-10-16,2.8,55,7.24,4.99
"203",1990-10-23,2.9,53.1,8.85,4.45
"204",1990-10-30,4.4,42.6,NA,3.94
"205",1990-11-06,2.92,53.3,NA,4.11
"206",1990-11-13,2.64,58.1,NA,4.51
"207",1990-11-20,2.64,63.6,NA,4.9
"208",1990-11-27,3.28,52.1,NA,4.57
"209",1990-12-04,3.38,49.8,NA,4.32
"210",1990-12-11,2.8,51.2,NA,4.71
"211",1990-12-18,3.85,51.9,NA,4.5
"212",1990-12-25,3.02,58.3,NA,4.77
"213",1990-12-31,4.6,51.2,NA,4.44
"214",1991-01-08,3.9,50.7,NA,4.68
"215",1991-01-15,3.66,51.5,NA,1.8
"216",1991-01-22,2.7,53.1,NA,3
"217",1991-01-29,2.72,59.8,NA,2.8
"218",1991-02-05,2.7,55.3,NA,2.7
"219",1991-02-12,2.6,55.9,NA,2.7
"220",1991-02-19,3.7,42.9,NA,2.1
"221",1991-02-26,3.12,52.7,NA,2.5
"222",1991-03-05,3.04,50.9,NA,4.4
"223",1991-03-12,2.9,53.1,NA,4.6
"224",1991-03-19,3.24,54.5,NA,4.79
"225",1991-03-26,2.66,56.4,NA,7.33
"226",1991-04-02,2.82,58.9,NA,4.99
"227",1991-04-09,2.9,54.1,NA,4.99
"228",1991-04-15,3.4,54.9,NA,5.04
"229",1991-04-23,2.6,58.6,NA,5.21
"230",1991-04-30,2.46,57.8,NA,5.46
"231",1991-05-07,2.98,49.2,NA,4.69
"232",1991-05-14,2.86,52.8,NA,4.72
"233",1991-05-21,2.85,54,NA,4.89
"234",1991-05-28,2.78,51.1,NA,4.84
"235",1991-06-04,2.55,60.8,NA,5.24
"236",1991-06-11,5.2,50.1,7.56,4.52
"237",1991-06-18,2.52,60.8,7.59,5.23
"238",1991-06-25,2.54,58.5,7.18,4.15
"239",1991-07-02,3,51.9,7.45,4.53
"240",1991-07-09,2.54,57.7,7.06,5
"241",1991-07-16,3.85,44.5,NA,0.45
"242",1991-07-23,2.45,61.3,8.12,5.59
"243",1991-07-30,2.65,57.1,NA,5.51
"244",1991-08-06,2.42,57.5,NA,5.48
"245",1991-08-13,2.57,61.4,8.09,5.52
"246",1991-08-20,2.45,58.7,9.38,5.27
"247",1991-08-27,3.35,49,8.94,4.89
"248",1991-09-03,2.76,61,NA,5.12
"249",1991-09-10,NA,56.3,NA,5.25
"250",1991-09-17,3.51,50,NA,4.67
"251",1991-09-24,2.97,58,7.06,6.36
"252",1991-10-01,3.38,46.3,2.34,4.27
"253",1991-10-08,2.94,56.3,2.03,5.24
"254",1991-10-15,2.9,56.7,5.37,5.87
"255",1991-10-22,2.7,61.8,7.22,5.3
"256",1991-10-29,2.32,65,2.55,4.88
"257",1991-11-05,3.55,NA,6.83,6.55
"258",1991-11-12,3.34,45.7,6.6,4.67
"259",1991-11-18,3.02,50.5,7.78,4.98
"260",1991-11-26,3.57,45.8,NA,4.47
"261",1991-12-03,4.7,44,9.77,4.84
"262",1991-12-10,3.66,49,3.71,4.53
"263",1991-12-17,3.42,46.2,7.49,5.05
"264",1991-12-23,3.26,51.7,8.36,4.89
"265",1991-12-30,3.42,58.6,9.02,5.59
"266",1992-01-07,3.6,51.6,7.85,5.09
"267",1992-01-14,3.6,51.5,7.75,4.99
"268",1992-01-21,3.32,55.2,7.72,5.33
"269",1992-01-28,3.4,59.4,7.98,5.35
"270",1992-02-04,3.35,60,7.45,5.84
"271",1992-02-11,3.4,55.4,NA,5.29
"272",1992-02-18,3.09,NA,NA,5.45
"273",1992-02-25,3.29,62.01,NA,6.59
"274",1992-03-03,2.85,65.7,NA,5.6
"275",1992-03-10,3.24,58.1,NA,5.2
"276",1992-03-17,3.24,54.3,NA,4.98
"277",1992-03-24,NA,NA,NA,5.72
"278",1992-04-01,3.32,55.8,NA,5.95
"279",1992-04-07,3.7,54.5,NA,2.16
"280",1992-04-14,3.58,57.6,NA,5.45
"281",1992-04-21,3.38,56.6,NA,5.82
"282",1992-04-28,3.16,61,NA,6.11
"283",1992-05-05,3.48,51.4,NA,5.06
"284",1992-05-12,3.58,52.5,NA,4.68
"285",1992-05-19,3.38,50.9,8.83,5.95
"286",1992-05-26,3.7,39.5,6.98,5.09
"287",1992-06-02,4,41.1,5.82,4.25
"288",1992-06-09,3.4,52,6.94,5.05
"289",1992-06-16,4.25,38.7,5.41,3.64
"290",1992-06-23,4.3,51.1,NA,4.79
"291",1992-06-30,3.2,59.4,8.89,6.22
"292",1992-07-07,2.3,61.8,NA,5.67
"293",1992-07-14,3.4,48.3,8.35,5.57
"294",1992-07-21,3.5,47.9,8.95,6.6
"295",1992-07-28,3.2,47,4.01,2.77
"296",1992-08-04,3.4,55.6,NA,4.99
"297",1992-08-11,4.1,34.4,4.77,3.74
"298",1992-08-18,3.5,53.3,7.25,5.09
"299",1992-08-25,2.78,52.7,9.96,6.91
"300",1992-09-01,2.95,51.6,7.62,5.21
"301",1992-09-08,3.1,55.7,6.6,4.44
"302",1992-09-15,2.95,53.2,9.43,6.29
"303",1992-09-22,3.4,NA,6.57,4.51
"304",1992-09-29,3.4,52.5,8.13,5.46
"305",1992-10-06,3,54.9,7.61,5.14
"306",1992-10-13,2.82,60.5,6.87,4.83
"307",1992-10-20,3.22,50.2,6.12,5.14
"308",1992-10-27,2.4,60.2,3.86,5.33
"309",1992-11-03,3.5,37.6,5.54,4.03
"310",1992-11-10,3.6,44.7,6.95,4.53
"311",1992-11-17,3.1,44.5,3.13,1.73
"312",1992-11-24,3.65,41.5,7.11,4.92
"313",1992-12-01,3.55,47.7,6.7,4.16
"314",1992-12-08,3.4,49.5,7.35,4.84
"315",1992-12-15,3.5,43.3,5.41,4.57
"316",1992-12-22,5,41.7,6.88,5.47
"317",1992-12-29,4.92,45.3,6.86,4.62
