"","date","site","station","utm_easting","utm_northing","sex","concentration_pg_g","elev_m"
"1",2018-06-08,"Cable Gate","Cable Gate 1",451373,4432963,"male",11563.40758,3343.246582
"2",2018-06-08,"Cable Gate","Cable Gate 2",451411,4432985,"male",10629.14328,3353.369629
"3",2018-06-08,"Cable Gate","Cable Gate 3",451462,4432991,"male",10923.56761,3357.71875
"4",2018-06-13,"West Knoll","West Knoll 3",449317,4434093,"male",10413.54461,3577.989014
"5",2018-06-13,"West Knoll","West Knoll 4",449342,4434141,"male",13530.58929,3584.194336
"6",2018-06-13,"West Knoll","West Knoll 5",449323,4434273,NA,7798.556309,3594.827393
"7",2018-06-13,"West Knoll","West Knoll 6",449243,4434156,"male",4714.955872,3603.312256
"8",2018-06-13,"West Knoll","West Knoll 7",449223,4434233,NA,2086.739083,3616.445557
"9",2018-06-13,"West Knoll","West Knoll 8",449244,4434292,"male",12898.84405,3606.109375
"10",2018-06-13,"West Knoll","West Knoll 10",449438,4434201,"male",11328.85854,3566.696533
"11",2018-06-21,"West Knoll","West Knoll 12",449077,4434440,NA,3373.775631,3580.776123
"12",2018-06-21,"West Knoll","West Knoll 13",449131,4434534,"male",7588.360814,3559.896729
"13",2018-06-25,"Long Lake","Long Lake 1",449927,4435565,NA,10202.31908,3295.538086
"14",2018-06-25,"Long Lake","Long Lake 2",449891,4435517,NA,8032.843488,3305.235352
"15",2018-06-25,"Long Lake","Long Lake 3",449882,4435616,NA,7622.995779,3278.479492
"16",2018-06-25,"West Knoll","West Knoll 6",449246,4434155,"male",7451.387454,3603.312256
"17",2018-06-25,"West Knoll","West Knoll 11",449012,4434389,NA,9681.781474,3589.890137
"18",2018-06-13,"Cable Gate","Cable Gate 4",451613,4433243,NA,9166.906396,3406.548096
"19",2018-06-29,"Cable Gate","Cable Gate 1",451373,4432966,"male",3101.191785,3343.246582
"20",2018-06-29,"Cable Gate","Cable Gate 3",451461,4432990,"male",8464.726516,3357.71875
"21",2018-07-11,"West Knoll","West Knoll 1",448886,4434072,"male",2555.501229,3602.490967
"22",2018-07-11,"West Knoll","West Knoll 2",449048,4434136,NA,2656.357971,3609.731934
"23",2018-07-11,"West Knoll","West Knoll 3",449316,4434090,"male",7184.813401,3577.989014
"24",2018-07-11,"West Knoll","West Knoll 5",449323,4434273,NA,7494.844024,3594.827393
"25",2018-07-11,"West Knoll","West Knoll 6",449246,4434155,"male",4423.849231,3603.312256
"26",2018-07-11,"West Knoll","West Knoll 8",449244,4434294,"male",7574.873637,3606.109375
"27",2018-07-11,"West Knoll","West Knoll 9",449300,4434227,"male",11551.25275,3601.595947
"28",2018-07-11,"West Knoll","West Knoll 11",449011,4434385,NA,3508.791451,3589.890137
"29",2018-07-11,"West Knoll","West Knoll 12",449079,4434440,NA,4320.304402,3580.776123
"30",2018-07-11,"West Knoll","West Knoll 13",449130,4434535,"male",7169.233683,3559.896729
"31",2018-07-20,"West Knoll","West Knoll 1",448884,4434071,"male",6937.691948,3602.490967
"32",2018-07-20,"West Knoll","West Knoll 2",449047,4434136,NA,3682.347737,3609.731934
"33",2018-07-20,"West Knoll","West Knoll 5",449325,4434271,NA,10600.03736,3594.827393
"34",2018-07-20,"West Knoll","West Knoll 6",449243,4434157,"male",8763.88082,3603.312256
"35",2018-07-20,"West Knoll","West Knoll 7",449222,4434235,NA,3671.696399,3616.445557
"36",2018-07-20,"West Knoll","West Knoll 8",449246,4434292,"male",5460.328035,3606.109375
"37",2018-07-20,"West Knoll","West Knoll 9",449300,4434228,"male",9224.051932,3601.595947
"38",2018-07-20,"West Knoll","West Knoll 10",449439,4434204,"male",5152.960363,3566.696533
"39",2018-07-20,"West Knoll","West Knoll 11",449014,4434383,NA,3346.645098,3589.890137
"40",2018-07-20,"West Knoll","West Knoll 13",449132,4434536,"male",6944.39406,3559.896729
"41",2018-07-20,"Cable Gate","Cable Gate 1",451380,4432971,"male",3375.85483,3343.246582
"42",2018-07-20,"Cable Gate","Cable Gate 2",451411,4432986,"male",2391.540034,3353.369629
"43",2018-07-20,"Cable Gate","Cable Gate 4",451617,4433243,NA,2667.61385,3406.548096
"44",2018-07-31,"West Knoll","West Knoll 1",448886,4434071,"male",3380.834195,3602.490967
"45",2018-07-31,"West Knoll","West Knoll 2",449047,4434138,NA,1997.506187,3609.731934
"46",2018-07-31,"West Knoll","West Knoll 3",449317,4434091,"male",5566.656068,3577.989014
"47",2018-07-31,"West Knoll","West Knoll 4",449337,4434145,"male",5068.887295,3584.194336
"48",2018-07-31,"West Knoll","West Knoll 5",449320,4434273,NA,3011.41036,3594.827393
"49",2018-07-31,"West Knoll","West Knoll 6",449244,4434155,"male",4823.64386,3603.312256
"50",2018-07-31,"West Knoll","West Knoll 7",449224,4434233,NA,4191.337215,3616.445557
"51",2018-07-31,"West Knoll","West Knoll 8",449242,4434295,"male",2382.67909,3606.109375
"52",2018-07-31,"West Knoll","West Knoll 9",449299,4434229,"male",3733.349695,3601.595947
"53",2018-07-31,"West Knoll","West Knoll 10",449439,4434203,"male",6147.084577,3566.696533
"54",2018-07-31,"West Knoll","West Knoll 11",449012,4434384,NA,2510.726898,3589.890137
"55",2018-07-31,"West Knoll","West Knoll 12",449076,4434440,NA,2524.599661,3580.776123
"56",2018-07-31,"West Knoll","West Knoll 13",449132,4434533,"male",3070.051038,3559.896729
"57",2018-08-01,"Cable Gate","Cable Gate 1",451380,4432971,"male",2058.969329,3343.246582
"58",2018-08-01,"Cable Gate","Cable Gate 2",451411,4432986,"male",1959.352059,3353.369629
"59",2018-08-01,"Cable Gate","Cable Gate 3",451462,4432989,"male",1906.10691,3357.71875
"60",2018-08-02,"Long Lake","Long Lake 1",449915,4435575,NA,3552.72238,3295.538086
"61",2018-08-02,"Long Lake","Long Lake 2",449888,4435516,NA,1332.291848,3305.235352
"62",2018-08-02,"Long Lake","Long Lake 3",449888,4435612,NA,834.0471397,3278.479492
"63",2018-08-09,"West Knoll","West Knoll 1",448886,4434071,"male",2409.082331,3602.490967
"64",2018-08-09,"West Knoll","West Knoll 2",449047,4434138,NA,3820.159299,3609.731934
"65",2018-08-09,"West Knoll","West Knoll 3",449317,4434091,"male",5498.395459,3577.989014
"66",2018-08-09,"West Knoll","West Knoll 4",449337,4434145,"male",6315.085465,3584.194336
"67",2018-08-09,"West Knoll","West Knoll 5",449320,4434273,NA,6596.494759,3594.827393
"68",2018-08-09,"West Knoll","West Knoll 6",449244,4434155,"male",5498.395459,3603.312256
"69",2018-08-09,"West Knoll","West Knoll 7",449224,4434233,NA,2145.282824,3616.445557
"70",2018-08-09,"West Knoll","West Knoll 8",449242,4434295,"male",3592.122472,3606.109375
"71",2018-08-09,"West Knoll","West Knoll 9",449299,4434229,"male",10359.42617,3601.595947
"72",2018-08-09,"West Knoll","West Knoll 10",449439,4434203,"male",5223.489074,3566.696533
"73",2018-08-09,"West Knoll","West Knoll 11",449012,4434384,NA,2521.457733,3589.890137
"74",2018-08-09,"West Knoll","West Knoll 12",449076,4434440,NA,1863.062959,3580.776123
"75",2018-08-09,"West Knoll","West Knoll 13",449132,4434533,"male",7124.036634,3559.896729
"76",2018-08-20,"West Knoll","West Knoll 1",448886,4434071,"male",4243.710999,3602.490967
"77",2018-08-20,"West Knoll","West Knoll 2",449047,4434138,NA,2195.373575,3609.731934
"78",2018-08-20,"West Knoll","West Knoll 3",449317,4434091,"male",4432.816867,3577.989014
"79",2018-08-20,"West Knoll","West Knoll 5",449320,4434273,NA,5907.7399,3594.827393
"80",2018-08-20,"West Knoll","West Knoll 6",449244,4434155,"male",3781.171857,3603.312256
"81",2018-08-20,"West Knoll","West Knoll 7",449224,4434233,NA,1328.038523,3616.445557
"82",2018-08-20,"West Knoll","West Knoll 8",449242,4434295,"male",1626.290164,3606.109375
"83",2018-08-20,"West Knoll","West Knoll 9",449299,4434229,"male",7813.06884,3601.595947
"84",2018-08-20,"West Knoll","West Knoll 10",449439,4434203,"male",3990.391094,3566.696533
"85",2018-08-20,"West Knoll","West Knoll 11",449012,4434384,NA,1991.523326,3589.890137
"86",2018-08-20,"West Knoll","West Knoll 12",449076,4434440,NA,1711.879995,3580.776123
"87",2018-08-20,"West Knoll","West Knoll 13",449132,4434533,"male",3910.372543,3559.896729
"88",2018-08-20,"Cable Gate","Cable Gate 1",451380,4432971,"male",6138.824698,3343.246582
"89",2018-08-20,"Cable Gate","Cable Gate 2",451411,4432986,"male",3391.772613,3353.369629
"90",2018-08-20,"Cable Gate","Cable Gate 3",451462,4432989,"male",6155.326683,3357.71875
"91",2018-08-20,"Cable Gate","Cable Gate 4",451617,4433243,NA,2392.560366,3406.548096
"92",2018-08-20,"Long Lake","Long Lake 1",449915,4435575,NA,1804.870175,3295.538086
"93",2018-08-20,"Long Lake","Long Lake 2",449888,4435516,NA,2219.312136,3305.235352
"94",2018-08-20,"Long Lake","Long Lake 3",449888,4435612,NA,6964.362748,3278.479492
"95",2018-09-04,"Cable Gate","Cable Gate 1",451380,4432971,"male",4261.143434,3343.246582
"96",2018-09-04,"Cable Gate","Cable Gate 2",451411,4432986,"male",2103.298327,3353.369629
"97",2018-09-04,"Cable Gate","Cable Gate 3",451462,4432989,"male",5588.298378,3357.71875
"98",2018-09-04,"Cable Gate","Cable Gate 4",451617,4433243,NA,10006.32459,3406.548096
"99",2018-09-04,"West Knoll","West Knoll 1",448886,4434071,"male",3588.476581,3602.490967
"100",2018-09-04,"West Knoll","West Knoll 2",449047,4434138,NA,4081.991951,3609.731934
"101",2018-09-04,"West Knoll","West Knoll 3",449317,4434091,"male",4706.125989,3577.989014
"102",2018-09-04,"West Knoll","West Knoll 5",449320,4434273,NA,5310.408749,3594.827393
"103",2018-09-04,"West Knoll","West Knoll 6",449244,4434155,"male",4318.724805,3603.312256
"104",2018-09-04,"West Knoll","West Knoll 7",449224,4434233,NA,2981.705191,3616.445557
"105",2018-09-04,"West Knoll","West Knoll 8",449242,4434295,"male",3636.968119,3606.109375
"106",2018-09-04,"West Knoll","West Knoll 9",449299,4434229,"male",8426.719733,3601.595947
"107",2018-09-04,"West Knoll","West Knoll 10",449439,4434203,"male",3512.231322,3566.696533
"108",2018-09-04,"West Knoll","West Knoll 11",449012,4434384,NA,2195.60841,3589.890137
"109",2018-09-04,"West Knoll","West Knoll 12",449076,4434440,NA,3231.773896,3580.776123
