"","shipment_date","port","import_export","taxa","genus","species","quantity","value"
"338",2008-07-21,"LA","I","crustacean",NA,NA,439,NA
"339",2008-11-20,"NW","I","mammal","Melogale","moschata",1,NA
"340",2007-11-15,"NY","I","mammal","Oryx","gazella",1,50
"341",2010-05-12,"DF","I","fish","Tropical fish","(marine sp.)",1683,NA
"342",2006-10-28,"CH","I","mammal","Ondatra","zibethicus",3,450
"343",2010-02-09,"NY","I","reptile","Alligator","mississippiensis",1,NA
"344",2007-12-10,"NY","I","mammal","Mustela","vison",78,73325
"345",2005-07-09,"HN","I","mammal","Tragelaphus","strepsiceros",1,50
"346",2013-10-06,"LA","I","coral","Tubipora","musica",3,NA
"347",2007-07-23,"MI","I",NA,NA,NA,1,0
"348",2009-10-25,"LO","I","bird","Struthio","camelus",372,NA
"349",2008-04-04,"LA","I","mammal","Macropus","rufus",2,NA
"350",2009-04-26,"NY","I","fish","Tropical fish","(marine sp.)",1162,NA
"351",2005-01-27,"CP","I","mammal","Castor","canadensis",11,10440
"352",2011-12-29,"AT","I","fish","Prionace","glauca",4,1223
"353",2014-09-24,"LO","I","shell","Anodonta","woodiana",3,NA
"354",2012-10-06,"NW","I","fish","Dasyatis","sephen",2,1457
"355",2004-04-20,"MI","I","insect",NA,NA,115,118
"356",2005-09-21,"SE","I","mammal","Oryx","gazella",1,90
"357",2000-09-23,"LA","I","shell","Pinctada","maxima",24,440
"358",2014-07-23,"HN","I","mammal","Madoqua","kirkii",1,NA
"359",2013-03-18,"MI","I","mammal","Procyon","lotor",7,350
"360",2014-06-06,"SF","I","coral","Acropora","pulchra",2,NA
"361",2013-11-21,"CP","I","mammal","Rangifer","tarandus",164,NA
"362",2008-04-09,"NY","I","insect",NA,NA,2,NA
"363",2009-04-22,"MI","I","coral","Duncanopsammia","axifuga",17,NA
"364",2004-03-12,"PT","I","mammal","Equus","burchellii",1,50
"365",2006-06-11,"SF","I","shell","Haliotis","asinina",2,122
"366",2007-05-07,"SF","I","mammal","Ovis","aries",2,147
"367",2007-09-25,"NY","I","mammal","Connochaetes","taurinus",2,100
"368",2013-05-01,"BN","I","spider","Argiope","sp.",29,82
"369",2011-08-31,"SY","I","shell","Oliva","sp.",2,15
"370",2008-05-14,"NY","I","mammal","Raphicerus","campestris",1,NA
"371",2011-08-02,"SY","I","shell","Murex","sp.",700,875
"372",2006-05-15,"MI","I","fish","Tropical fish","(marine sp.)",467,1727
"373",2008-06-12,"BV","I","shell",NA,NA,8868,NA
"374",2010-08-10,"NW","I","reptile","Python","molurus",15,NA
"375",2001-11-17,"LA","I","coral","Euphyllia","sp.",89,338
"376",2011-11-14,"BA","I","shell","Placuna","placenta",374,5236
"377",2010-04-24,"NW","I","shell","Sepia","sp.",1,NA
"378",2014-05-12,"PB","I","bird","Coturnix","japonica",8,NA
"379",2014-12-09,"HN","I","shell","Octopus","vulgaris",4032,NA
"380",2000-02-01,"HN","I","mammal","Aepyceros","melampus",1,50
"381",2002-07-30,"MI","I","reptile","Tupinambis","teguixin",506,21480
"382",2014-09-18,"CP","I","mammal","Chinchilla","lanigera",1,NA
"383",2014-01-13,"LA","I","shell","Sepioteuthis","lessoniana",66,NA
"384",2005-10-02,"NY","I","insect","Charaxes","brutus",5,13
"385",2001-12-21,"AT","I","mammal","Alcelaphus","buselaphus",1,100
"386",2010-03-17,"ME","I","fish","Dasyatis","sephen",1,NA
"387",2009-06-11,"SF","I","shell","Non-CITES entry","sp.",9,NA
"388",2004-05-08,"LA","I","fish","Tropical fish","(freshwater sp.)",5050,2023
"389",2004-07-28,"HA","I","fish","Tropical fish","(marine sp.)",70,29
"390",2010-04-06,"HA","I","shell","Pyrene","testudinaria",59,NA
"391",2002-10-25,"DS","I","bird","Branta","canadensis",1,0
"392",2007-04-15,"CH","I","mammal","Sciurus","vulgaris",1,100
"393",2003-04-18,"MI","I","shell","Pinctada","maxima",72,32
"394",2013-10-17,"NW","I","shell","Pinctada","margaritifera",1,NA
"395",2011-05-25,"NY","I","shell","Pinctada","maxima",4,500
"396",2010-11-19,"NY","I","mammal","Aepyceros","melampus",1,NA
"397",2003-12-21,"NY","I","mammal","Mustela","vison",6,3057
"398",2002-09-07,"NY","I","shell",NA,NA,28,1189
"399",2005-05-25,"NY","I","reptile","Alligator","mississippiensis",10,750
"400",2003-06-06,"NG","I","mammal","Odocoileus","virginianus",5,838
"401",2002-02-10,"LA","I","other","Other live inverts","in trop fish &",690,520
"402",2005-03-18,"NY","I","reptile","Homalopsis","buccata",116,9752
"403",2004-02-15,"LA","I","coral","Stylophora","pistillata",5,40
"404",2012-02-26,"NW","I","reptile","Python","molurus",1,1144
"405",2010-09-04,"LA","I","fish","Tropical fish","(freshwater sp.)",106614,NA
"406",2012-06-10,"LO","I","shell","Cristaria","discoidea",82,17
"407",2001-10-05,"SF","I","mammal","Damaliscus","pygargus",1,0
"408",2012-11-09,"PT","I","crustacean","Non-CITES entry","sp.",197,19
"409",2003-09-02,"HA","I","shell","Nassa","serta",3888,1088
"410",2011-07-24,"LA","I","coral","Plerogyra","sinuosa",20,138
"411",2012-11-06,"NW","I","reptile","Crocodylus","niloticus",1,11003
"412",2010-10-12,"AT","I","fish","Betta","splendens",244,NA
"413",2007-05-09,"LO","I","shell","Haliotis","iris",43,190
"414",2001-12-08,"MI","I","reptile","Physignathus","concincinus",560,672
"415",2004-06-03,"PB","I","mammal","Cervus","elaphus",2,7400
"416",2002-07-24,"BV","I","fish","Conger","conger",44,1276
"417",2012-04-04,"LA","I","coral","Montastraea","annuligera",2,2
"418",2010-12-16,"NW","I","bird","Struthio","camelus",4,NA
"419",2011-06-28,"PT","I","shell",NA,NA,390966,23890
"420",2005-07-28,"DE","I","other","Other live inverts","in trop fish &",62,29
"421",2012-02-08,"NY","I","bird","Struthio","camelus",4,4459
"422",2012-12-12,"CH","I","mammal","Aepyceros","melampus",1,430
"423",2002-05-02,"DN","I",NA,NA,NA,12,15
"424",2007-06-24,"NY","I","fish","All live tropical fish","(including goldfish)",8273,921
"425",2013-01-20,"LA","I","coral","Cynarina","lacrymalis",1,6
"426",2000-04-10,"NY","I","reptile","Python","reticulatus",80,1744
"427",2007-04-22,"NY","I","mammal","Kobus","ellipsiprymnus",1,50
"428",2008-08-16,"CH","I","mammal","Antidorcas","marsupialis",3,NA
"429",2008-03-26,"MI","I","crustacean",NA,NA,1500,NA
"430",2002-03-02,"NY","I","bird","Struthio","camelus",200,8750
"431",2004-03-02,"BL","I","bird","Phasianus","colchicus",6,39
"432",2014-03-07,"CH","I","mammal","Tragelaphus","strepsiceros",1,NA
"433",2007-07-26,"LA","I","coral","Acropora","sp.",173,89
"434",2000-08-09,"MI","I","reptile","Crotalus","sp.",1,12
"435",2007-01-15,"LO","I","shell","Haliotis","iris",8,7
"436",2002-03-20,"AN","I","shell","Pinctada","maxima",1,1
"437",2010-03-10,"LA","I","fish","Cyprinus","carpio",4330,NA
"438",2008-04-29,"LA","I","coral","Euphyllia","cristata",30,NA
"439",2002-09-16,"MI","I","other","Non-CITES entry","sp.",152,733
"440",2000-10-25,"NY","I","reptile","Alligator","mississippiensis",13,150
"441",2009-01-11,"NW","I","shell","Loligo","sp.",4200,NA
"442",2011-03-09,"SE","I","other","Other live inverts","in trop fish &",17,NA
"443",2003-11-04,"NY","I","reptile","Varanus","salvator",44,3094
"444",2007-06-14,"AN","I","shell",NA,NA,8,5
"445",2010-12-13,"MI","I","reptile","Basiliscus","plumifrons",200,NA
"446",2009-11-16,"LA","I","bird","Struthio","camelus",276,NA
"447",2004-05-18,"NY","I","mammal","Taurotragus","oryx",1,50
"448",2014-06-02,"DE","I","amphibian","Mantella","aurantiaca",13,NA
"449",2003-06-15,"NY","I","coral","Radianthus","sp.",10,7
"450",2013-03-23,"NY","I","mammal","Redunca","arundinum",1,50
"451",2009-09-04,"SF","I","mammal","Bubalus","bubalis",2,NA
"452",2007-03-21,"SF","I","shell","Pteria","penguin",17,25
"453",2009-07-19,"LA","I","coral","Scleractinia","sp.",178,NA
"454",2005-05-19,"NY","I","reptile","Alligator","mississippiensis",2,1648
"455",2009-08-20,"MI","I",NA,NA,NA,10,NA
"456",2006-08-06,"NY","I","mammal","Mustela","vison",2,100
"457",2011-10-31,"BL","I","mammal","Ursus","americanus",1,1200
"458",2007-12-16,"LA","I","coral","Scleractinia","sp.",238,560
"459",2011-05-02,"LA","I",NA,NA,NA,19108,80450
"460",2005-12-04,"LA","I","shell",NA,NA,233,63
"461",2004-12-19,"LA","I","shell","Tridacna","crocea",32,293
"462",2013-10-22,"CH","I","mammal","Connochaetes","gnou",1,NA
"463",2004-07-02,"BA","I","mammal","Hippotragus","niger",1,100
"464",2013-11-20,"NY","I","shell","Sepia","officinalis",83,NA
"465",2010-07-21,"LA","I","bird","Collocalia","fuciphaga",37,NA
"466",2005-02-28,"LA","I","coral","Scleractinia","sp.",251,230
"467",2001-02-08,"HN","I","mammal","Cervus","elaphus",1,50
"468",2000-12-01,"LA","I","reptile","Tupinambis","sp.",252,13230
"469",2012-03-19,"AT","I","fish","Tropical fish","(freshwater sp.)",25964,10362
"470",2004-12-21,"HN","I","mammal","Equus","burchellii",1,50
"471",2001-02-26,"CH","I","shell","Tectus","niloticus",22000,1474
"472",2004-04-10,"NY","I","fish","All live tropical fish","(including goldfish)",240,60
"473",2009-01-12,"SE","I","mammal","Alcelaphus","buselaphus",1,NA
"474",2012-11-27,"SW","I","mammal","Odocoileus","virginianus",1,50
"475",2011-12-04,"NY","I","coral","Lobophyllia","sp.",8,24
"476",2011-01-20,"HN","I","fish","Hemichromis","sp.",20,NA
"477",2011-07-07,"LA","I","reptile","Pelomedusa","subrufa",362,1086
"478",2012-10-16,"NY","I","coral","Corallium","rubrum",1,105
"479",2009-02-03,"SE","I","mammal","Canis","lupus",3,NA
"480",2002-04-18,"EL","I","reptile","Crocodylidae","sp.",1,0
"481",2013-03-02,"LA","I","coral","Acropora","caroliniana",5,40
"482",2014-10-06,"LA","I","fish","Paralichthys","olivaceus",540,NA
"483",2002-09-26,"SU","I","mammal","Alces","alces",1,0
"484",2006-02-14,"AT","I","mammal","Caracal","caracal",1,20
"485",2005-10-31,"NY","I","mammal","Aepyceros","melampus",1,50
"486",2008-02-28,"LA","I","fish","Tropical fish","(freshwater sp.)",106720,NA
"487",2009-02-03,"TP","I","fish","Tropical fish","(marine sp.)",1290,NA
"488",2001-08-01,"LA","I","mammal","Cervus","elaphus",52,728
"489",2013-05-01,"NY","I","shell","Pteria","penguin",1,99
"490",2012-05-25,"DF","I","shell","Hyriopsis","cumingii",7,7
"491",2001-12-20,"NY","I","mammal","Phacochoerus","aethiopicus",1,50
"492",2005-04-01,"NW","I","reptile","Ptyas","mucosus",12,1548
"493",2004-01-01,"NY","I","mammal","Alopex","lagopus",1250,13555
"494",2007-12-21,"HN","I","fish","Aphyosemion","sp.",150,150
"495",2005-04-07,"LA","I","coral","Caulastraea","sp.",16,63
"496",2005-12-22,"MP","I","fish","Ancistrus","sp.",14,140
"497",2011-12-03,"AT","I","coral","Scleractinia","sp.",65,158
"498",2004-06-02,"NW","I","shell","Trochus","niloticus",331,3123
"499",2013-12-18,"BN","I","mammal","Neovison","vison",1,NA
"500",2012-09-22,"NW","I","mammal","Neovison","vison",42,12785
"501",2003-09-13,"IF","I","mammal","Ursus","americanus",1,0
"502",2014-05-14,"BV","I","reptile","Caiman","crocodilus",115,NA
"503",2010-05-05,"MI","I","coral","Scolymia","vitiensis",6,NA
"504",2008-07-22,"DF","I","mammal","Chlorocebus","aethiops",1,NA
"505",2012-03-15,"CH","I","mammal","Aepyceros","melampus",1,104
"506",2005-04-22,"MI","I","coral","Heliofungia","actiniformis",9,25
"507",2007-05-26,"6","I","mammal","Ursus","americanus",1,0
"508",2001-03-05,"SF","I","bird","Alopochen","aegyptiacus",2,0
"509",2003-03-23,"NY","I","mammal","Equus","burchellii",1,50
"510",2006-12-05,"NY","I","mammal","Rangifer","tarandus",1,50
"511",2010-06-19,"LA","I","reptile","Alligator","mississippiensis",2,NA
"512",2009-01-09,"DF","I","bird","Struthio","camelus",627,NA
"513",2002-05-24,"AN","I","shell",NA,NA,5,3105
"514",2005-07-21,"DF","I","mammal","Tragelaphus","strepsiceros",2,556
"515",2013-06-04,"HA","I","shell","Mitra","sp.",438,0
"516",2010-06-28,"LO","I","mammal","Odocoileus","hemionus",1,NA
"517",2010-08-09,"NY","I","other","Other live inverts","in trop fish &",8,NA
"518",2006-04-16,"LA","I","coral","Euphyllia","cristata",36,63
"519",2004-03-10,"NW","I","reptile","Python","reticulatus",2,697
"520",2001-04-02,"MI","I","reptile","Physignathus","concincinus",1200,3100
"521",2012-03-22,"HN","I","coral","Euphyllia","divisa",10,35
"522",2008-10-18,"DF","I","mammal","Equus","burchellii",1,NA
"523",2005-12-21,"NY","I","reptile","Caiman","crocodilus",1,100
"524",2014-02-14,"CP","I","mammal","Loxodonta","africana",2,NA
"525",2007-12-26,"PT","I","mammal","Phacochoerus","aethiopicus",1,105
"526",2002-09-01,"NY","I","fish","All live tropical fish","(including goldfish)",5330,1023
"527",2009-04-19,"LA","I","coral","Euphyllia","glabrescens",25,NA
"528",2004-05-17,"NY","I","mammal","Martes","zibellina",2,100
"529",2005-04-30,"NW","I","shell","Cypraea","moneta",702,3615
"530",2010-10-11,"LA","I","other","Other live inverts","in trop fish &",110,NA
"531",2012-08-10,"MI","I","reptile","Gekko","sp.",234,187
"532",2004-10-06,"NY","I","mammal","Connochaetes","taurinus",1,64
"533",2007-05-19,"5","I","mammal","Ursus","americanus",1,0
"534",2008-10-19,"PB","I","bird","Aythya","valisineria",1,NA
"535",2011-08-17,"HN","I","insect","Hamadryas","sp.",33,52
"536",2008-05-30,"SF","I","crustacean","Lysmata","grabhami",128,NA
"537",2006-03-09,"NW","I","mammal","Meles","meles",90,2428
"538",2005-01-02,"NY","I","fish","Tropical fish","(freshwater sp.)",3381,1504
"539",2001-05-08,"LA","I","fish","All live tropical fish","(including goldfish)",3239,2336
"540",2003-02-27,"CP","I","mammal","Mustela","vison",1,1908
"541",2005-04-28,"AN","I","shell",NA,NA,60,180
"542",2011-05-28,"DF","I","coral","Acropora","formosa",12,63
"543",2013-07-28,"NY","I","mammal","Neovison","vison",5,11971
"544",2012-12-18,"SY","I","echinoderms","Dendraster","sp.",821,74
"545",2012-03-04,"NW","I","reptile","Alligator","mississippiensis",4,567
"546",2008-11-05,"TP","I","coral","Sarcophyton","sp.",50,NA
"547",2011-07-21,"CH","I","shell","Cypraea","tigris",236,241
"548",2006-09-28,"DF","I","mammal","Chinchilla","lanigera",32,1380
"549",2003-08-06,"NW","I","mammal","Vulpes","vulpes",2,948
"550",2010-08-19,"DF","I","coral","Symphyllia","sp.",2,NA
"551",2014-02-14,"LA","I","other","Other live inverts","in trop fish &",2056,NA
"552",2007-04-16,"LA","I","coral","Fungia","sp.",12,60
"553",2012-06-27,"NY","I","mammal","Neovison","vison",5,558
"554",2010-10-08,"NY","I","mammal","Ursus","americanus",1,NA
"555",2004-05-22,"NY","I","shell","Pinctada","margaritifera",2750,27500
"556",2007-09-20,"HN","I","mammal","Aepyceros","melampus",1,75
"557",2006-07-09,"LA","I","coral","Scleractinia","sp.",76,154
"558",2014-04-02,"SY","I","shell","Turritella","sp.",8,NA
"559",2010-01-29,"SF","I","shell","Terebra","turitella",12,NA
"560",2006-08-06,"NW","I","mammal","Mustela","vison",4,1168
"561",2001-09-23,"LA","I","fish","All live tropical fish","(including goldfish)",88702,3929
"562",2012-02-09,"LA","I","coral","Euphyllia","ancora",10,44
"563",2013-12-17,"CH","I","shell","Dosidicus","gigas",2722,NA
"564",2007-05-15,"NG","I","mammal","Ovis","canadensis",1,0
"565",2012-01-30,"LA","I","coral","Acropora","tenuis",13,72
"566",2001-08-18,"LA","I","other","Other live inverts","in trop fish &",1146,1385
"567",2000-10-22,"LA","I","mammal","Macropus","giganteus",78,1050
"568",2000-03-04,"NY","I","reptile","Alligator","mississippiensis",3,1930
"569",2014-04-11,"LA","I","coral","Lobophyllia","sp.",62,NA
"570",2012-01-23,"LO","I","shell","Architectonica","perspectiva",69,30
"571",2003-11-04,"MI","I","reptile","Geochelone","denticulata",4,68
"572",2005-04-13,"MI","I","reptile","Alligator","mississippiensis",5,470
"573",2007-04-30,"HA","I","fish","Tropical fish","(marine sp.)",4009,1415
"574",2011-10-12,"MI","I","coral","Galaxea","fascicularis",7,10
"575",2007-09-22,"AN","I","shell",NA,NA,800,15552
"576",2007-07-31,"AN","I","shell",NA,NA,500,850
"577",2010-11-23,"MI","I","bird","Tangara","gyrola",2,NA
"578",2011-03-13,"ME","I","shell","Pinctada","maxima",21,NA
"579",2001-10-08,"CH","I","mammal","Raphicerus","sharpei",1,50
"580",2003-04-17,"LA","I","reptile","Varanus","timorensis",35,750
"581",2002-02-12,"PB","I","mammal","Ursus","americanus",1,920
"582",2002-06-13,"NY","I","shell","Pinctada","melegrina",30,900
"583",2008-04-01,"MI","I","reptile","Paleosuchus","trigonatus",8,NA
"584",2010-05-09,"DF","I","mammal","Hemitragus","jemlahicus",1,NA
"585",2007-02-07,"NY","I","fish","Dasyatis","sephen",18,5167
"586",2005-12-14,"LO","I","mammal","Sciurus","vulgaris",50,275
"587",2004-05-02,"LA","I","coral","Fungia","moluccensis",7,39
"588",2007-07-02,"SE","I","mammal","Taurotragus","oryx",1,3000
"589",2004-04-19,"AN","I","shell","Isognomon","natalus",45,891
"590",2003-11-08,"LA","I","coral","Scleractinia","sp.",1032,1135
"591",2003-07-17,"NW","I","shell","Tectus","niloticus",6743,7368
"592",2013-08-11,"HA","I","shell","Pinctada","margaritifera",1,NA
"593",2007-05-17,"NW","I","reptile","Python","reticulatus",2,384
"594",2008-07-15,"LA","I","fish","Tropical fish","(freshwater sp.)",9900,NA
"595",2001-07-10,"DF","I","reptile","Alligator","mississippiensis",4,2178
"596",2005-06-21,"SF","I","shell",NA,NA,105,2587
"597",2008-10-29,"LO","I","shell","Pinctada","melegrina",212,NA
"598",2002-09-19,"LA","I","reptile","Alligator","mississippiensis",28,1886
"599",2006-02-17,"NW","I","fish","Anguilla","japonica",1440,11880
"600",2004-12-02,"AN","I","shell",NA,NA,1052,111
"601",2005-10-29,"LA","I","insect","Hebomoia","sp.",50,60
"602",2007-02-26,"DF","I","mammal","Cricetus","cricetus",74,195
"603",2014-09-21,"NY","I","fish","Carcharhinus","obscurus",1,NA
"604",2001-10-10,"DF","I","coral","Acropora","hyacinthus",10,70
"605",2014-12-03,"MI","I","shell",NA,NA,1035,NA
"606",2005-06-15,"AT","I","mammal","Ursus","arctos",1,300
"607",2004-05-06,"NY","I","fish","All live tropical fish","(including goldfish)",300,30
"608",2002-02-18,"CH","I","coral","Goniopora","stokesi",18,27
"609",2013-08-27,"ME","I","fish","Non-CITES entry","sp.",3,NA
"610",2004-04-10,"HA","I","shell",NA,NA,430,50
"611",2011-09-22,"DN","I","bird","Anas","acuta",4,0
"612",2009-12-12,"LA","I","other","Other live inverts","in trop fish &",174,NA
"613",2009-02-05,"NW","I","reptile","Alligator","mississippiensis",4,NA
"614",2009-06-27,"LA","I","shell","Pinctada","melegrina",1722,NA
"615",2008-11-02,"NY","I","reptile","Varanus","niloticus",2,NA
"616",2004-12-02,"DF","I","mammal","Tragelaphus","scriptus",1,352
"617",2004-05-20,"NY","I","fish","Dormitator","latifrons",910,864
"618",2006-01-26,"NW","I","reptile","Caiman","crocodilus",40,2984
"619",2008-12-13,"LA","I","coral","Scleractinia","sp.",150,NA
"620",2013-10-01,"CH","I","coral","Trachyphyllia","geoffroyi",30,NA
"621",2012-05-24,"NY","I","mammal","Neovison","vison",10,2281
"622",2013-05-16,"NY","I","other","Other live inverts","in trop fish &",1826,294
"623",2010-08-29,"NY","I","crustacean","Neopetrolisthes","ohshimai",3,NA
"624",2002-10-23,"NW","I","shell","Pinctada","martensii",77440,98349
"625",2002-01-22,"DF","I","reptile","Alligator","mississippiensis",5,36897
"626",2008-06-22,"NY","I","reptile","Python","molurus",32,NA
"627",2003-04-30,"SF","I","mammal","Phacochoerus","aethiopicus",1,0
"628",2014-02-09,"HN","I","mammal","Damaliscus","pygargus",1,NA
"629",2009-06-25,"LO","I","shell","Pinctada","maxima",6,NA
"630",2009-12-25,"BO","I","shell","Pinctada","maxima",1000,NA
"631",2001-11-25,"LA","I","mammal","Mustela","vison",40,40970
"632",2010-04-08,"DR","I","reptile","Caiman","sp.",2,NA
"633",2010-08-31,"MI","I","coral","Goniopora","lobata",14,NA
"634",2012-10-24,"PB","I","mammal","Cervus","elaphus",1,1398
"635",2009-10-16,"MI","I","crustacean",NA,NA,3839,NA
"636",2003-06-26,"CH","I","shell","Tectus","niloticus",3000,148
"637",2013-02-21,"LO","I","shell","Pinctada","maxima",3441,13716
"638",2000-02-24,"NY","I","reptile","Alligator","mississippiensis",1,103
"639",2006-12-01,"SF","I","mammal","Panthera","pardus",1,408
"640",2008-05-18,"AT","I","reptile","Crocodylus","niloticus",1,NA
"641",2012-10-16,"LO","I","reptile","Python","reticulatus",1,1
"642",2002-02-02,"LA","I","other","Other live inverts","in trop fish &",173,663
"643",2001-06-24,"LA","I","coral","Acropora","sp.",9,59
"644",2009-11-04,"NY","I","shell","Pinctada","maxima",52,NA
"645",2007-12-21,"NY","I","shell","Pinctada","maxima",148,217704
"646",2007-06-12,"NY","I","insect",NA,NA,2,2
"647",2000-11-07,"LA","I","amphibian","Rana","catesbeiana",16330,92820
"648",2011-09-03,"AT","I",NA,NA,NA,108,685
"649",2008-08-15,"HN","I","mammal","Hippotragus","niger",1,NA
"650",2010-04-23,"LA","I","echinoderms","Stichopus","sp.",425,NA
"651",2000-05-06,"NY","I","reptile","Python","reticulatus",156,2962
"652",2010-08-14,"NY","I","shell","Pinctada","maxima",40,NA
"653",2011-12-08,"HN","I","mammal","Nanger","granti",1,450
"654",2000-03-12,"LA","I","fish","All live tropical fish","(including goldfish)",29112,6434
"655",2014-07-15,"HA","I","shell","Octopus","vulgaris",11,NA
"656",2007-05-03,"LA","I","coral","Favites","sp.",38,20
"657",2010-08-31,"ME","I","shell","Malleus","sp.",225,NA
"658",2001-01-17,"DF","I","reptile","Alligator","mississippiensis",42,4838
"659",2008-01-31,"MI","I","crustacean","Non-CITES entry","sp.",190,NA
"660",2012-01-21,"ME","I","shell","Cristaria","plicata",255,6202
"661",2009-11-25,"NY","I","mammal","Alcelaphus","buselaphus",1,NA
"662",2006-06-16,"NY","I","mammal","Lynx","rufus",2,5468
"663",2004-09-29,"PB","I","mammal","Ursus","americanus",1,800
"664",2014-10-16,"NY","I","fish","Pterois","volitans",6,NA
"665",2008-01-24,"SU","I","mammal","Mustela","vison",4200,NA
"666",2002-07-13,"LA","I","coral","Galaxea","sp.",4,5
"667",2011-04-02,"ME","I","shell","Cristaria","plicata",744,NA
"668",2010-09-17,"AT","I","spider","Pandinus","imperator",1130,NA
