"","shipment_date","port","import_export","taxa","genus","species","quantity","value"
"669",2013-06-25,"BN","I","fish","Lates","calcarifer",104,1495
"670",2005-11-15,"LA","I","coral","Scleractinia","sp.",1014,1115
"671",2010-08-29,"NY","I","crustacean","Procambarus","clarki",750,NA
"672",2000-07-02,"NY","I","bird","Struthio","camelus",295,860
"673",2005-12-28,"LO","I","shell","Pinctada","maxima",2100,1576
"674",2007-09-23,"DS","I","bird","Tympanuchus","phasianellus",8,0
"675",2010-07-14,"AG","I","bird","Struthio","camelus",1,NA
"676",2000-03-12,"LA","I","fish","All live tropical fish","(including goldfish)",4312,2738
"677",2006-02-21,"DF","I","mammal","Alcelaphus","buselaphus",1,465
"678",2007-12-25,"NY","I","mammal","Connochaetes","taurinus",1,50
"679",2000-06-10,"SF","I","fish","All live tropical fish","(including goldfish)",10326,3631
"680",2001-10-16,"SF","I","shell","Pinctada","margaritifera",2656,5905
"681",2003-08-08,"NY","I","reptile","Alligator","mississippiensis",5,829
"682",2010-06-22,"NY","I","reptile","Elaphe","radiata",1,NA
"683",2006-10-29,"6","I","bird","Anas","clypeata",1,0
"684",2012-11-27,"AT","I","crustacean","Non-CITES entry","sp.",236,525
"685",2006-02-08,"LA","I","other","Other live inverts","in trop fish &",47,18
"686",2007-12-12,"AT","I","mammal","Damaliscus","pygargus",1,100
"687",2004-11-08,"LA","I","shell","Pinctada","margaritifera",20538,4929
"688",2001-10-29,"MI","I","shell",NA,NA,24280,13393
"689",2007-04-12,"AN","I","shell",NA,NA,36,7182
"690",2003-04-02,"BL","I","fish","Rhamphocottus","richardsoni",10,180
"691",2010-08-21,"IF","I","mammal","Ursus","americanus",1,NA
"692",2007-09-16,"LA","I","shell","Tridacna","crocea",36,12
"693",2014-04-24,"AG","I","shell","Pinctada","maxima",4,NA
"694",2004-12-13,"HN","I","mammal","Aepyceros","melampus",1,50
"695",2013-08-27,"LA","I","coral","Acropora","cerealis",6,NA
"696",2006-05-28,"SW","I","mammal","Ursus","americanus",1,0
"697",2010-05-23,"LO","I","fish","Dasyatis","sephen",28,NA
"698",2011-04-06,"AT","I","mammal","Macropus","giganteus",1738,NA
"699",2006-12-16,"MI","I","crustacean",NA,NA,7,7
"700",2009-07-03,"LA","I","mammal","Hemitragus","jemlahicus",2,NA
"701",2006-09-14,"LA","I","reptile","Iguana","iguana",2000,6000
"702",2001-03-01,"NY","I","mammal","Taurotragus","oryx",1,50
"703",2013-08-13,"NY","I","mammal","Syncerus","caffer",2,NA
"704",2002-09-11,"LA","I","coral","Turbinaria","sp.",12,36
"705",2010-06-26,"DF","I","mammal","Tragelaphus","scriptus",1,NA
"706",2014-08-12,"LO","I","mammal","Axis","axis",120,NA
"707",2001-03-11,"LA","I","fish","All live tropical fish","(including goldfish)",37220,4455
"708",2006-08-17,"PB","I","mammal","Ovibos","moschatus",1,200
"709",2008-03-05,"AG","I","reptile","Alligator","mississippiensis",1,NA
"710",2008-02-28,"ME","I","mammal","Odocoileus","virginianus",1224,NA
"711",2004-03-11,"NW","I","bird","Meleagris","gallopavo",2880,778
"712",2013-07-10,"ME","I","shell","Pinctada","margaritifera",34,74
"713",2005-04-12,"BN","I","reptile","Morelia","viridis",3,200
"714",2006-01-10,"PB","I","mammal","Vulpes","vulpes",24,1518
"715",2002-05-05,"DF","I","mammal","Phacochoerus","aethiopicus",1,320
"716",2001-09-18,"NY","I","mammal","Alopex","lagopus",25,7500
"717",2000-06-05,"SF","I","coral","Euphyllia","cristata",19,45
"718",2012-12-18,"HN","I","insect","Papilio","thoas",23,38
"719",2001-05-31,"DN","I","mammal","Loxodonta","africana",1,1165
"720",2010-10-21,"NY","I","other","Halocynthia","sp.",960,NA
"721",2010-04-23,"LO","I","shell","Potamilus","purpuratus",40,NA
"722",2012-10-25,"SW","I","mammal","Cervus","elaphus",1,1600
"723",2006-08-11,"NY","I","reptile","Caiman","crocodilus",2,400
"724",2007-08-31,"LA","I","coral","Montipora","sp.",5,25
"725",2005-08-18,"AL","I","mammal","Rangifer","tarandus",1,0
"726",2005-05-15,"LA","I","coral","Acropora","hyacinthus",15,77
"727",2012-03-22,"LA","I","other","Halocynthia","roretzi",10,115
"728",2005-03-23,"LA","I","other","Other live inverts","in trop fish &",22,17
"729",2008-03-12,"DF","I","fish","Tropical fish","(marine sp.)",30,NA
"730",2005-04-18,"BA","I","coral","Psammocora","contigua",1,0
"731",2005-09-14,"DF","I","shell","Pinctada","maxima",10,28
"732",2005-03-08,"NY","I","mammal","Damaliscus","pygargus",1,50
"733",2005-08-24,"DE","I","fish","Tropical fish","(marine sp.)",7527,3855
"734",2010-07-16,"NW","I","mammal","Cervus","elaphus",4,NA
"735",2002-04-11,"LA","I","coral","Platygyra","sp.",18,56
"736",2006-10-12,"PL","I","bird","Tympanuchus","phasianellus",3,0
"737",2009-10-17,"6","I","bird","Chen","caerulescens",6,NA
"738",2003-01-22,"HA","I","echinoderms","Linckia","laevigata",2700,285
"739",2007-07-16,"CH","I","mammal","Hemitragus","jemlahicus",1,470
"740",2008-05-13,"LO","I","shell","Placuna","placenta",100,NA
"741",2005-03-17,"NY","I","reptile","Alligator","mississippiensis",1,87
"742",2001-06-28,"AT","I","mammal","Lycaon","pictus",3,12660
"743",2005-04-10,"LA","I","other","Other live inverts","in trop fish &",115,48
"744",2008-03-21,"LO","I","mammal","Mustela","sibirica",2121,NA
"745",2011-08-16,"CP","I","mammal","Procyon","lotor",11,1473
"746",2005-04-15,"NY","I","mammal","Raphicerus","campestris",1,50
"747",2001-05-04,"MI","I","reptile","Boa","constrictor",7,455
"748",2004-02-18,"MI","I","reptile","Mabuya","sp.",150,225
"749",2010-11-26,"6","I","mammal","Odocoileus","virginianus",1,NA
"750",2014-12-07,"LO","I","shell","Pinctada","maxima",216,NA
"751",2014-11-04,"LA","I","coral","Pocillopora","sp.",7,NA
"752",2014-02-07,"NY","I","mammal","Syncerus","caffer",1,NA
"753",2003-01-24,"LA","I","coral","Tubastraea","sp.",11,110
"754",2009-04-07,"NY","I","reptile","Python","molurus",2,NA
"755",2013-10-05,"PB","I","bird","Anser","albifrons",1,NA
"756",2006-05-03,"BO","I","mammal","Procyon","sp.",2,0
"757",2007-04-30,"SF","I","mammal","Connochaetes","taurinus",1,0
"758",2014-09-22,"SF","I","mammal","Dama","dama",1,NA
"759",2010-02-19,"CH","I","mammal","Aepyceros","melampus",2,NA
"760",2007-05-15,"MI","I","fish","Tropical fish","(freshwater sp.)",3142,1449
"761",2004-04-19,"NW","I","shell","Conus","sp.",1600,480
"762",2009-07-25,"LA","I","coral","Euphyllia","cristata",16,NA
"763",2014-03-25,"NW","I","reptile","Acrochordus","javanicus",1,NA
"764",2009-10-08,"PT","I","mammal","Oryx","gazella",1,NA
"765",2007-07-03,"SF","I","mammal","Gazella","granti",1,0
"766",2007-01-20,"HA","I","shell","Pinctada","maxima",50,41
"767",2013-06-05,"HN","I","mammal","Connochaetes","taurinus",1,100
"768",2006-12-03,"ME","I","mammal","Odocoileus","virginianus",2,263
"769",2014-02-04,"SF","I","insect",NA,NA,10,NA
"770",2012-06-28,"LO","I","shell","Pinctada","margaritifera",52,670
"771",2012-10-16,"LO","I","shell","Pinctada","maxima",47,239
"772",2009-02-01,"LA","I","fish","Tropical fish","(freshwater sp.)",40030,NA
"773",2007-01-28,"NY","I","mammal","Aepyceros","melampus",1,50
"774",2005-06-30,"BL","I","mammal","Odocoileus","hemionus",1,900
"775",2010-06-30,"NW","I","mammal","Marmota","bobak",18,NA
"776",2005-07-03,"HN","I","mammal","Tragelaphus","imberbis",7,332
"777",2012-12-19,"DE","I","mammal","Vulpes","vulpes",4,400
"778",2003-10-16,"TP","I","reptile","Varanus","niloticus",500,6339
"779",2012-02-23,"NW","I","reptile","Python","molurus",2,267
"780",2012-11-29,"NW","I","reptile","Alligator","mississippiensis",2,7527
"781",2001-08-25,"6","I","mammal","Rangifer","tarandus",10,0
"782",2012-01-29,"LA","I","shell","Pinctada","maxima",224,27
"783",2004-05-09,"MI","I","fish","All live tropical fish","(including goldfish)",6935,925
"784",2005-08-10,"LO","I","shell","Pinctada","margaritifera",180,19
"785",2007-07-29,"LA","I","crustacean",NA,NA,444,585
"786",2010-08-17,"LA","I","other","Other live inverts","in trop fish &",102,NA
"787",2013-05-29,"CH","I","mammal","Equus","burchellii",1,1200
"788",2005-05-17,"NY","I","insect",NA,NA,10,20
"789",2000-06-30,"NY","I","shell","Codakia","sp.",10608,1000
"790",2011-12-13,"NY","I","insect","Parthenos","sylvia",10,19
"791",2011-12-22,"NY","I","shell","Hyriopsis","schlegelii",17,2
"792",2005-09-23,"CA","I","fish","Gadus","morhua",6422,1699
"793",2005-12-29,"CH","I","mammal","Damaliscus","pygargus",2,110
"794",2011-10-17,"NY","I","shell","Tectus","niloticus",1665,464
"795",2006-04-10,"SE","I","shell","Turbo","sp.",3600,288
"796",2014-09-22,"7","I","mammal","Alces","americanus",3,NA
"797",2008-09-22,"SU","I","mammal","Rangifer","tarandus",1,NA
"798",2008-07-27,"NY","I","fish","Tropical fish","(freshwater sp.)",34494,NA
"799",2013-02-01,"ME","I","bird","Philydor","pyrrhodes",729,0
"800",2014-03-24,"LA","I","other","Other live inverts","in trop fish &",45,NA
"801",2007-10-16,"AN","I","shell",NA,NA,58,186
"802",2013-01-22,"HA","I","shell","Cymbiola","sp.",2,136
"803",2009-08-28,"AN","I","bird","Gallus","gallus",150,NA
"804",2005-01-14,"NY","I","reptile","Python","reticulatus",19,380
"805",2006-08-17,"GP","I","mammal","Ursus","americanus",1,0
"806",2009-10-20,"NY","I","shell","Conus","sp.",15,NA
"807",2014-05-27,"1","I","mammal","Ursus","americanus",2,NA
"808",2007-07-11,"MI","I","crustacean",NA,NA,41,59
"809",2001-08-21,"NY","I","fish","All live tropical fish","(including goldfish)",80,14
"810",2005-08-04,"AT","I","bird","Chrysolophus","amherstiae",5760,9072
"811",2005-08-29,"NY","I","mammal","Martes","americana",1,50
"812",2008-10-16,"PL","I","bird","Anas","platyrhynchos",5,NA
"813",2014-05-15,"CH","I","bird","Stagonopleura","sp.",2,NA
"814",2012-05-30,"NW","I","bird","Struthio","camelus",1,1486
"815",2000-10-26,"1","I","bird","Branta","canadensis",13,0
"816",2005-09-15,"DF","I","fish","Symphysodon","sp.",570,1965
"817",2001-09-09,"NY","I","other","Other live inverts","in trop fish &",400,108
"818",2012-05-05,"AN","I","shell",NA,NA,6,12
"819",2011-03-23,"MI","I","coral","Echinophyllia","sp.",12,NA
"820",2011-01-17,"NY","I","shell","Pteria","margaritifera",197,NA
"821",2003-12-12,"CP","I","mammal","Mustela","vison",3,2820
"822",2010-04-30,"NY","I","mammal","Mustela","vison",2,NA
"823",2003-03-24,"SE","I","mammal","Aepyceros","melampus",1,445
"824",2014-10-25,"NY","I","mammal","Tragelaphus","strepsiceros",1,NA
"825",2004-06-06,"LA","I","shell","Cypraea","sp.",1,1
"826",2005-11-14,"SF","I","mammal","Dama","dama",3,150
"827",2008-03-08,"NY","I","shell","Pinctada","maxima",57,NA
"828",2013-08-09,"NY","I","reptile","Caiman","yacare",88,NA
"829",2012-11-01,"LA","I","fish","Hippocampus","kuda",300,960
"830",2004-07-07,"LA","I","coral","Scleractinia","sp.",50,127
"831",2012-10-22,"MI","I","crustacean",NA,NA,121,76
"832",2009-02-27,"NY","I","mammal","Raphicerus","campestris",2,NA
"833",2007-11-13,"NY","I","mammal","Loxodonta","africana",1,90
"834",2005-11-18,"NY","I","shell","Trochus","niloticus",59,21
"835",2009-10-09,"BA","I","mammal","Bubalus","bubalis",2,NA
"836",2012-09-23,"DN","I","bird","Branta","canadensis",2,0
"837",2005-05-14,"HA","I","shell","Pinctada","maxima",190,112
"838",2000-01-03,"MP","I","crustacean",NA,NA,33,16
"839",2008-12-01,"PB","I","mammal","Odocoileus","virginianus",1,NA
"840",2012-01-08,"LA","I","fish","Tropical fish","(freshwater sp.)",9372,2887
"841",2004-11-29,"AN","I","shell",NA,NA,89,478
"842",2010-09-30,"SF","I","reptile","Mauremys","nigricans",11,NA
"843",2014-05-15,"NW","I","reptile","Varanus","niloticus",1,NA
"844",2008-06-29,"HN","I","shell","Cristaria","discoidea",80,NA
"845",2009-05-09,"NY","I","mammal","Alopex","lagopus",6,NA
"846",2007-07-28,"NY","I","shell","Pinctada","vulgaris",16,459
"847",2014-02-12,"HN","I","fish","Neolebias","ansorgii",200,NA
"848",2006-07-12,"NY","I","mammal","Damaliscus","pygargus",1,50
"849",2008-10-31,"BA","I","bird","Ammodramus","leconteii",23,NA
"850",2014-05-14,"AT","I","mammal","Canis","mesomelas",1,NA
"851",2008-01-22,"NY","I","other","Other live inverts","in trop fish &",164,NA
"852",2012-05-23,"SF","I","mammal","Connochaetes","gnou",1,160
"853",2003-01-18,"NY","I","other","Other live inverts","in trop fish &",19,23
"854",2007-02-01,"LA","I","coral","Hydnophora","rigida",12,6
"855",2014-08-18,"DF","I","reptile","Alligator","mississippiensis",1,NA
"856",2008-03-13,"LA","I","fish","Tropical fish","(freshwater sp.)",110,NA
"857",2005-06-06,"LA","I","coral","Favites","sp.",4,21
"858",2007-08-08,"NY","I","bird","Struthio","camelus",1,1832
"859",2012-03-27,"LO","I","shell","Tellina","sp.",64,100
"860",2004-02-01,"NY","I","reptile","Homalopsis","buccata",12,300
"861",2008-12-14,"NY","I","fish","Tropical fish","(marine sp.)",550,NA
"862",2011-07-05,"NW","I","reptile","Python","reticulatus",2,2860
"863",2006-11-21,"LO","I","shell","Pinctada","maxima",1126,1331
"864",2002-08-06,"LA","I","reptile","Leiolepis","sp.",50,8
"865",2006-03-11,"LA","I","fish","Tropical fish","(freshwater sp.)",24503,6009
"866",2003-10-05,"NY","I","mammal","Mustela","vison",37,10025
"867",2013-05-14,"ME","I","shell","Pinctada","fucata",156,200
"868",2008-03-04,"ME","I","mammal","Odocoileus","virginianus",10572,NA
"869",2012-07-22,"NW","I","reptile","Homalopsis","buccata",23,8098
"870",2012-09-17,"LA","I","coral","Acropora","hyacinthus",5,30
"871",2007-02-13,"BN","I","mammal","Ursus","americanus",1,300
"872",2011-02-19,"SF","I","mammal","Kobus","vardonii",1,NA
"873",2010-04-17,"LA","I","crustacean",NA,NA,1800,NA
"874",2012-08-06,"LA","I","shell","Pteria","penguin",84,13158
"875",2005-04-10,"LA","I","coral","Scolymia","vitiensis",8,47
"876",2013-01-02,"BO","I","insect",NA,NA,2,0
"877",2007-06-13,"LO","I","shell","Turbo","sp.",1,1
"878",2011-02-07,"LA","I","coral","Cynarina","lacrymalis",4,NA
"879",2012-03-29,"NW","I","reptile","Crocodylus","niloticus",1,5974
"880",2002-10-28,"MI","I","other","Non-CITES entry","sp.",250,243
"881",2000-09-07,"MP","I","mammal","Martes","zibellina",4,0
"882",2006-04-29,"NY","I","shell","Pinctada","melegrina",75,75
"883",2009-09-26,"LA","I","fish","Tropical fish","(freshwater sp.)",17565,NA
"884",2009-05-06,"NY","I","mammal","Sylvicapra","grimmia",1,NA
"885",2010-10-05,"LR","I","fish","Conger","conger",21,NA
"886",2006-01-31,"NG","I","coral","Bunodactis","sp.",40,24
"887",2000-11-12,"MI","I","fish","All live tropical fish","(including goldfish)",1639,1484
"888",2001-02-22,"MI","I","fish","All live tropical fish","(including goldfish)",3065,1516
"889",2009-02-26,"NW","I","reptile","Homalopsis","buccata",12,NA
"890",2003-05-01,"AN","I","shell",NA,NA,101,20
"891",2005-08-30,"AN","I","coral","Corallium","rubrum",300,1992
"892",2004-06-27,"NY","I","fish","Carassius","auratus",8000,620
"893",2003-06-07,"CA","I","mammal","Ursus","americanus",1,0
"894",2002-06-14,"HO","I","mammal","Ursus","americanus",1,0
"895",2007-11-10,"LA","I","bird","Struthio","camelus",1,4537
"896",2001-10-05,"PB","I","mammal","Castor","canadensis",3,105
"897",2011-05-19,"LA","I","shell","Placuna","placenta",1792,13856
"898",2012-09-09,"LA","I","coral","Montipora","sp.",2,15
"899",2006-10-07,"DS","I","bird","Anas","platyrhynchos",14,0
"900",2011-07-15,"LR","I","reptile","Naja","sputatrix",4,30
"901",2005-03-26,"LA","I","reptile","Draco","sp.",35,18
"902",2011-01-27,"SF","I","coral","Cynarina","lacrymalis",10,NA
"903",2007-02-20,"LA","I","coral","Heliofungia","actiniformis",25,115
"904",2011-11-17,"MI","I","bird","Aratinga","erythrogenys",2,0
"905",2004-02-03,"LA","I","shell","Cypraea","sp.",19322,226
"906",2001-04-02,"NY","I","fish","Cyprinus","carpio",1300,5201
"907",2004-03-08,"DF","I","bird","Struthio","camelus",130,1265
"908",2002-03-14,"LA","I","coral","Stylophora","sp.",8,16
"909",2002-07-29,"SW","I","mammal","Kobus","ellipsiprymnus",1,470
"910",2009-05-01,"AN","I","bird","Gallus","sp.",1500,NA
"911",2008-08-26,"AN","I","shell",NA,NA,13,NA
"912",2005-12-27,"NY","I","reptile","Varanus","salvator",1,6
"913",2005-06-16,"HA","I","shell","Engina","sp.",110,22
"914",2006-05-15,"AT","I","fish","Tropical fish","(freshwater sp.)",100,50
"915",2005-04-07,"CH","I","shell","Pinctada","maxima",536,600
"916",2009-11-30,"SF","I",NA,NA,NA,8,NA
"917",2008-04-16,"DF","I","shell","Tristichotrochus","sp.",8,NA
"918",2006-10-06,"PL","I","bird","Chen","caerulescens",1,0
"919",2004-06-05,"MI","I","fish","Tropical fish","(freshwater sp.)",3486,1670
"920",2007-12-04,"LO","I","shell","Anadara","sp.",10,5
"921",2004-09-04,"MI","I","reptile","Physignathus","concincinus",3,36
"922",2001-09-30,"MI","I","fish","All live tropical fish","(including goldfish)",1625,4157
"923",2013-07-29,"SF","I","crustacean","Alpheus","sp.",26,33
"924",2014-04-26,"LA","I","fish","Tropical fish","(marine sp.)",2139,NA
"925",2004-05-26,"MI","I","crustacean",NA,NA,26,37
"926",2007-06-20,"AN","I","mammal","Pelea","capreolus",1,404
"927",2004-05-10,"AN","I","mammal","Alopex","lagopus",2,65
"928",2008-10-12,"LA","I","fish","Tropical fish","(freshwater sp.)",117632,NA
"929",2013-05-01,"NY","I","mammal","Neovison","vison",2,200
"930",2003-02-06,"DF","I","mammal","Aepyceros","melampus",1,75
"931",2013-03-13,"SF","I","reptile","Trachemys","sp.",50,250
"932",2014-10-05,"DF","I","mammal","Hippotragus","niger",1,NA
"933",2004-11-18,"AT","I","reptile","Alligator","mississippiensis",1,1452
"934",2007-04-28,"AT","I","shell","Pleuroploca","sp.",3600,350
"935",2006-08-24,"6","I","mammal","Odocoileus","virginianus",1,0
"936",2008-03-12,"SY","I","bird","Struthio","camelus",804,NA
"937",2002-10-15,"SF","I","fish","Carassius","auratus",3145,1203
"938",2006-03-20,"HN","I","reptile","Python","reticulatus",3,1175
"939",2011-04-30,"LA","I","shell","Loligo","sp.",18144,NA
"940",2014-06-11,"BO","I","shell","Hyriopsis","cumingii",2525,NA
"941",2009-09-23,"NY","I","mammal","Alopex","lagopus",10,NA
"942",2014-05-09,"CP","I","reptile","Caiman","crocodilus",6,NA
"943",2001-02-08,"MI","I","fish","All live tropical fish","(including goldfish)",1660,444
"944",2003-10-15,"LA","I","reptile","Varanus","salvator",132,2640
"945",2013-10-10,"NW","I","reptile","Conolophus","pallidus",100,NA
"946",2007-04-23,"AN","I","shell",NA,NA,7,38
"947",2004-03-06,"NY","I","reptile","Tupinambis","teguixin",40,3300
"948",2005-06-30,"AN","I","mammal","Odocoileus","virginianus",6,5
"949",2001-08-31,"SW","I","mammal","Alces","alces",3,300
"950",2011-09-14,"NY","I","reptile","Python","reticulatus",54,11297
"951",2014-12-07,"NW","I","reptile","Homalopsis","buccata",62,NA
"952",2011-05-25,"NW","I","bird","Struthio","camelus",1,6030
"953",2006-10-15,"PB","I","bird","Chen","caerulescens",1,0
"954",2006-05-06,"5","I","mammal","Ursus","americanus",1,0
"955",2002-02-17,"SF","I","mammal","Potamochoerus","porcus",1,0
"956",2010-02-25,"LO","I","insect","Non-CITES entry","sp.",2,NA
"957",2012-12-04,"TP","I","fish","Tropical fish","(freshwater sp.)",33440,9104
"958",2014-06-04,"LA","I","shell","Sepia","officinalis",3892,NA
"959",2002-10-15,"SF","I","insect","Non-CITES entry","sp.",7,39
"960",2000-02-29,"BO","I","shell",NA,NA,2518,4930
"961",2002-07-30,"PT","I","shell","Cypraea","moneta",103050,974
"962",2005-02-28,"NW","I","shell","Haliotis","sp.",22,220
"963",2006-12-14,"CP","I","mammal","Lynx","rufus",1,950
"964",2004-07-24,"NY","I","mammal","Damaliscus","pygargus",1,50
"965",2011-10-01,"SU","I","bird","Branta","canadensis",24,0
"966",2005-05-07,"LO","I","shell","Pinctada","maxima",1976,5640
"967",2001-12-11,"SF","I","coral","Corallium","secundum",58,660
"968",2004-11-23,"MI","I","reptile","Anolis","roquet",69,35
"969",2008-05-10,"ME","I","mammal","Vulpes","vulpes",10,NA
"970",2008-10-16,"NW","I","fish","Dasyatis","sephen",3,NA
"971",2003-08-19,"LA","I","coral","Turbinaria","sp.",10,10
"972",2008-06-01,"SW","I","mammal","Odocoileus","virginianus",1,NA
"973",2006-01-28,"BA","I","shell","Pinctada","fucata",1584,1267
"974",2002-04-13,"LA","I","coral","Heliofungia","sp.",15,22
"975",2012-07-19,"LA","I","other","Other live inverts","in trop fish &",123,59
"976",2013-01-24,"LA","I","coral","Acropora","kimbeensis",12,48
"977",2008-02-21,"MI","I","coral","Heliofungia","actiniformis",20,NA
"978",2010-08-13,"CP","I","mammal","Alopex","lagopus",67,NA
"979",2007-11-21,"ME","I",NA,NA,NA,2,0
"980",2009-04-05,"NY","I","reptile","Python","reticulatus",8,NA
"981",2007-11-07,"LA","I","crustacean",NA,NA,330,125
"982",2014-07-14,"NY","I","insect","Polyrhachis","sp.",1,NA
"983",2013-06-08,"BO","I","shell","Pinctada","margaritifera",8,2885
"984",2008-03-04,"BN","I","mammal","Chinchilla","lanigera",24,NA
"985",2011-07-31,"NY","I","mammal","Nyctereutes","procyonoides",5,2343
"986",2007-02-02,"DF","I","mammal","Alcelaphus","buselaphus",1,88
"987",2002-06-22,"DL","I","mammal","Ursus","americanus",1,1
"988",2006-04-12,"MI","I","reptile","Non-CITES entry","sp.",5,100
"989",2007-07-25,"LA","I","coral","Pavona","sp.",5,27
"990",2001-09-02,"LA","I","coral","Scleractinia","sp.",200,438
"991",2014-08-22,"LA","I","shell",NA,NA,1520,NA
"992",2008-12-11,"SE","I","other","Other live inverts","in trop fish &",93,NA
"993",2003-05-25,"MI","I","reptile","Varanus","niloticus",514,1
"994",2001-01-06,"LA","I","fish","All live tropical fish","(including goldfish)",2134,1485
"995",2006-03-22,"LA","I","coral","Porites","sp.",10,100
"996",2004-08-21,"IF","I","mammal","Ursus","americanus",1,0
"997",2007-04-20,"NY","I","mammal","Alopex","lagopus",1,90
"998",2011-03-16,"HN","I","mammal","Tragelaphus","angasii",1,NA
"999",2011-04-03,"LA","I","shell","Loligo","sp.",156,NA
"1000",2000-07-27,"PT","I","reptile","Python","regius",12,36
